"","LHS","RHS","support","confidence","coverage","lift","count"
"264","{news}","{tech}",0.0171466171233937,0.538798345901241,0.0318238117355628,15.3207066527674,2215
"262","{gon}","{na}",0.012269701192135,0.996228786926461,0.0123161480105279,79.1955905816371,1585
"263","{na}","{gon}",0.012269701192135,0.975384615384615,0.0125793466480879,79.1955905816371,1585
"261","{sound}","{like}",0.00652577798420808,0.547402597402597,0.011921350054188,6.08497268156506,843
"260","{graphic}","{card}",0.0057361820715281,0.665170556552962,0.00862362594828921,27.3477824619706,741
"254","{quick}","{bit}",0.00437374206533519,0.697530864197531,0.00627032048304691,57.1020513542693,565
"255","{trace}","{ray}",0.00397120297259638,0.943014705882353,0.0042111782009599,204.737209589718,513
"256","{ray}","{trace}",0.00397120297259638,0.86218487394958,0.00460597615729989,204.737209589718,513
"259","{link}","{tech}",0.00389379160860814,0.522326064382139,0.00745471435206688,14.852318071073,503
"257","{star}","{war}",0.00372348660783403,0.558652729384437,0.0066651184393869,88.3314070769664,481
"258","{war}","{star}",0.00372348660783403,0.588739290085679,0.00632450843783867,88.3314070769664,481
"251","{tip}","{tech}",0.00301130205914228,0.694642857142857,0.00433503638334107,19.7521382975378,389
"248","{ta}","{get}",0.00252361046601641,0.898071625344353,0.00281003251277288,22.0389233590394,326
"252","{tip}","{linus}",0.00226815296485524,0.523214285714286,0.00433503638334107,8.12658668132397,293
"245","{beard}","{linus}",0.00220622387366465,0.534709193245779,0.00412602570057284,8.30512607712994,285
