"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{tusk}","{elon}",0.000178046137172937,0.958333333333333,0.00018578727357176,415.427852348993,23
"2","{pahk}","{central}",0.000178046137172937,0.958333333333333,0.00018578727357176,2063.29166666667,23
"3","{deodorant}","{ball}",0.000216751819167054,0.96551724137931,0.000224492955565877,479.713527851459,28
"4","{bytedance}","{tencent}",0.000201269546369407,0.896551724137931,0.000224492955565877,989.885057471264,26
"5","{bytedance}","{tiktok}",0.00018578727357176,0.827586206896552,0.000224492955565877,284.32868672047,24
"6","{bytedance}","{own}",0.00020901068276823,0.931034482758621,0.000224492955565877,386.723583545848,27
"7","{saiyan}","{super}",0.000178046137172937,0.958333333333333,0.00018578727357176,113.994014732965,23
"8","{feeler}","{curb}",0.00018578727357176,0.96,0.000193528409970584,3875.4,24
"9","{curb}","{feeler}",0.00018578727357176,0.75,0.000247716364762347,3875.4,24
"10","{thanksgiving}","{canadian}",0.000170305000774114,0.6875,0.000247716364762347,237.463235294118,22
"11","{fnaf}","{music}",0.000224492955565877,0.604166666666667,0.000371574547143521,211.507452574526,29
"12","{homo}","{love}",0.000170305000774114,0.5,0.000340610001548227,13.6698412698413,22
"13","{carpool}","{critic}",0.000224492955565877,1,0.000224492955565877,3588.33333333333,29
"14","{critic}","{carpool}",0.000224492955565877,0.805555555555556,0.00027868091035764,3588.33333333333,29
"15","{toenail}","{sign}",0.00020901068276823,0.675,0.000309645455952934,340.611328125,27
"16","{toenail}","{anthony}",0.00018578727357176,0.6,0.000309645455952934,26.1939844542075,24
"17","{newell}","{gabe}",0.000193528409970584,0.892857142857143,0.000216751819167054,1295.94703049759,25
"18","{rian}","{johnson}",0.000170305000774114,0.88,0.000193528409970584,2228.98823529412,22
"19","{battleground}","{pubg}",0.000193528409970584,0.675675675675676,0.000286422046756464,938.535309503052,25
"20","{earther}","{flat}",0.000224492955565877,1,0.000224492955565877,1094.74576271186,29
"21","{ublock}","{origin}",0.000193528409970584,0.735294117647059,0.000263198637559994,1337.82104391052,25
"22","{puberty}","{hit}",0.000170305000774114,0.5,0.000340610001548227,139.503239740821,22
"23","{puberty}","{linus}",0.000239975228363524,0.704545454545455,0.000340610001548227,10.9430301572901,31
"24","{protector}","{screen}",0.000178046137172937,1,0.000178046137172937,160.272952853598,23
"25","{14th}","{april}",0.000270939773958817,0.813953488372093,0.000332868865149404,665.484250809538,35
"26","{diem}","{mean}",0.00020901068276823,0.509433962264151,0.000410280229137637,30.1183886706101,27
"27","{quack}","{bat}",0.000224492955565877,0.537037037037037,0.000418021365536461,1051.12794612795,29
"28","{tin}","{foil}",0.000170305000774114,0.758620689655172,0.000224492955565877,3062.45689655172,22
"29","{foil}","{tin}",0.000170305000774114,0.6875,0.000247716364762347,3062.45689655172,22
"30","{stain}","{shirt}",0.00020901068276823,0.613636363636364,0.000340610001548227,96.2009046778464,27
"31","{maple}","{syrup}",0.00025545750116117,0.942857142857143,0.000270939773958817,3205.21804511278,33
"32","{syrup}","{maple}",0.00025545750116117,0.868421052631579,0.000294163183155287,3205.21804511278,33
"33","{mech}","{arena}",0.000216751819167054,0.756756756756757,0.000286422046756464,2384.33750823995,28
"34","{arena}","{mech}",0.000216751819167054,0.682926829268293,0.000317386592351757,2384.33750823995,28
"35","{rose}","{red}",0.0002322340919647,0.882352941176471,0.000263198637559994,230.73350797809,30
"36","{trek}","{star}",0.000201269546369407,1,0.000201269546369407,150.034843205575,26
"37","{ned}","{flander}",0.000356092274345874,0.884615384615385,0.000402539092738814,1843.13895781638,46
"38","{flander}","{ned}",0.000356092274345874,0.741935483870968,0.000479950456727048,1843.13895781638,46
"39","{pikachu}","{face}",0.000170305000774114,0.6875,0.000247716364762347,109.10472972973,22
"40","{lttrash}","{com}",0.000348351137947051,0.9,0.000387056819941167,435.438202247191,45
"41","{mi}","{mix}",0.00018578727357176,0.631578947368421,0.000294163183155287,741.703349282297,24
"42","{zealand}","{new}",0.000247716364762347,0.888888888888889,0.000278680910357641,24.2506159802886,32
"43","{redirect}","{com}",0.000170305000774114,0.628571428571429,0.000270939773958817,304.115569823435,22
"44","{der8auer}","{bauer}",0.000193528409970584,0.625,0.000309645455952934,928.01724137931,25
"45","{der8auer}","{farmer}",0.0002322340919647,0.75,0.000309645455952934,978.636363636364,30
"46","{der8auer}","{der}",0.00018578727357176,0.6,0.000309645455952934,738.171428571429,24
"47","{der8auer}","{mean}",0.000178046137172937,0.575,0.000309645455952934,33.9947368421053,23
"48","{quickie}","{tech}",0.000247716364762347,0.888888888888889,0.000278680910357641,25.275515445007,32
"49","{cheesy}","{potato}",0.00018578727357176,0.5,0.000371574547143521,922.714285714286,24
"50","{estate}","{real}",0.00018578727357176,0.923076923076923,0.000201269546369407,98.3853769992384,24
"51","{chief}","{master}",0.000170305000774114,0.611111111111111,0.00027868091035764,419.911347517731,22
"52","{chromium}","{edge}",0.000193528409970584,0.757575757575758,0.00025545750116117,404.395191585274,25
"53","{goo}","{let}",0.000294163183155287,0.527777777777778,0.000557361820715281,41.2701775625504,38
"54","{chew}","{gum}",0.00018578727357176,0.571428571428571,0.000325127728750581,878.775510204082,24
"55","{murdock}","{riley}",0.000286422046756464,0.627118644067797,0.000456727047530578,11.5105408412444,37
"56","{robin}","{hood}",0.000278680910357641,0.837209302325581,0.000332868865149404,2207.1570953963,36
"57","{hood}","{robin}",0.000278680910357641,0.73469387755102,0.000379315683542344,2207.1570953963,36
"58","{raspberry}","{pi}",0.00020901068276823,0.84375,0.000247716364762347,2018.4375,27
"59","{pi}","{raspberry}",0.00020901068276823,0.5,0.000418021365536461,2018.4375,27
"60","{gordon}","{hello}",0.000565102957114104,0.793478260869565,0.000712184548691748,459.64807954767,73
"61","{sandal}","{linus}",0.00018578727357176,0.648648648648649,0.000286422046756464,10.0748385754999,24
"62","{vance}","{youtube}",0.000472209320328224,0.772151898734177,0.000611549775507044,69.7528547401965,61
"63","{explorer}","{internet}",0.00018578727357176,0.727272727272727,0.00025545750116117,129.943417578272,24
"64","{sebastian}","{linus}",0.000247716364762347,0.761904761904762,0.000325127728750581,11.8339373743967,32
"65","{arch}","{btw}",0.000193528409970584,0.543478260869565,0.000356092274345874,257.166746297181,25
"66","{gfx}","{card}",0.000193528409970584,0.862068965517241,0.000224492955565877,35.4430518668101,25
"67","{duper}","{super}",0.000317386592351757,0.931818181818182,0.000340610001548227,110.84003013561,41
"68","{nikola}","{tesla}",0.000348351137947051,0.76271186440678,0.000456727047530578,227.021010700617,45
"69","{oppo}","{phone}",0.000170305000774114,0.564102564102564,0.000301904319554111,34.2437825332562,22
"70","{nanotube}","{carbon}",0.000642514321102338,0.965116279069767,0.000665737730298808,720.657346417529,83
"71","{juice}","{james}",0.000294163183155287,0.644067796610169,0.000456727047530577,46.5328176544193,38
"72","{circuit}","{short}",0.000340610001548227,0.862745098039216,0.000394797956339991,311.311206046664,44
"73","{airport}","{code}",0.000193528409970584,0.531914893617021,0.000363833410744697,239.41730298762,25
"74","{instinct}","{ultra}",0.000193528409970584,0.520833333333333,0.000371574547143521,380.120056497175,25
"75","{ptgi}","{seus}",0.000239975228363524,0.815789473684211,0.000294163183155287,2026.60931174089,31
"76","{seus}","{ptgi}",0.000239975228363524,0.596153846153846,0.000402539092738814,2026.60931174089,31
"77","{geep}","{scrapyard}",0.000371574547143521,0.786885245901639,0.000472209320328224,1613.48946135831,48
"78","{scrapyard}","{geep}",0.000371574547143521,0.761904761904762,0.000487691593125871,1613.48946135831,48
"79","{geep}","{war}",0.000379315683542344,0.80327868852459,0.000472209320328224,127.010454080302,49
"80","{leather}","{jacket}",0.000363833410744697,0.854545454545454,0.000425762501935284,1397.34407364787,47
"81","{jacket}","{leather}",0.000363833410744697,0.594936708860759,0.000611549775507044,1397.34407364787,47
"82","{nano}","{tube}",0.000286422046756464,0.637931034482759,0.000448985911131754,849.566299324565,37
"83","{nano}","{carbon}",0.000317386592351757,0.706896551724138,0.000448985911131754,527.843332668926,41
"84","{hyperx}","{hp}",0.000348351137947051,0.535714285714286,0.000650255457501161,596.582512315271,45
"85","{incognito}","{mode}",0.000193528409970584,0.641025641025641,0.000301904319554111,274.197656647988,25
"86","{deutsche}","{bahn}",0.000340610001548227,0.830188679245283,0.000410280229137637,1849.0305790501,44
"87","{bahn}","{deutsche}",0.000340610001548227,0.758620689655172,0.000448985911131754,1849.0305790501,44
"88","{england}","{uk}",0.000193528409970584,0.520833333333333,0.000371574547143521,193.89409221902,25
"89","{obi}","{wan}",0.00018578727357176,1,0.00018578727357176,564.10480349345,24
"90","{donald}","{trump}",0.00025545750116117,0.825,0.000309645455952934,300.207042253521,33
"91","{bezos}","{jeff}",0.000263198637559994,0.723404255319149,0.000363833410744697,1297.90780141844,34
"92","{stamp}","{time}",0.000448985911131754,0.852941176470588,0.000526397275119988,23.9632320957961,58
"93","{scrapyard}","{war}",0.000448985911131754,0.920634920634921,0.000487691593125871,145.566241184356,58
"94","{xls}","{excel}",0.000178046137172937,0.851851851851852,0.00020901068276823,940.531813865147,23
"95","{boston}","{dynamic}",0.000356092274345874,0.793103448275862,0.000448985911131754,1151.15846571096,46
"96","{dynamic}","{boston}",0.000356092274345874,0.51685393258427,0.000688961139495278,1151.15846571096,46
"97","{96}","{core}",0.000216751819167054,0.595744680851064,0.000363833410744697,97.1695680206318,28
"98","{brush}","{tooth}",0.000379315683542344,0.753846153846154,0.000503173865923518,710.816395283549,49
"99","{ol}","{good}",0.00020901068276823,0.574468085106383,0.000363833410744697,10.4359143909496,27
"100","{6900}","{xt}",0.000247716364762347,0.571428571428571,0.000433503638334107,319.554730983302,32
"101","{76}","{fallout}",0.00020901068276823,0.794117647058823,0.000263198637559994,1298.5331347729,27
"102","{hedge}","{fund}",0.000239975228363524,0.885714285714286,0.000270939773958817,1100.15934065934,31
"103","{bezel}","{phone}",0.000178046137172937,0.534883720930233,0.000332868865149404,32.4700559538381,23
"104","{aussie}","{accent}",0.000325127728750581,0.518518518518518,0.000627032048304691,158.350407144733,42
"105","{eternal}","{doom}",0.00025545750116117,0.767441860465116,0.000332868865149404,643.75415282392,33
"106","{ajit}","{pai}",0.000418021365536461,0.857142857142857,0.000487691593125871,1815.1756440281,54
"107","{pai}","{ajit}",0.000418021365536461,0.885245901639344,0.000472209320328224,1815.1756440281,54
"108","{11th}","{gen}",0.000309645455952934,0.833333333333333,0.000371574547143521,151.833568406206,40
"109","{11th}","{intel}",0.000216751819167054,0.583333333333333,0.000371574547143521,16.3886472379295,28
"110","{throne}","{game}",0.000178046137172937,0.560975609756098,0.000317386592351757,19.6387071187785,23
"111","{thomas}","{edison}",0.000278680910357641,0.8,0.000348351137947051,618.826347305389,36
"112","{thomas}","{company}",0.00018578727357176,0.533333333333333,0.000348351137947051,34.5863453815261,24
